stationID,location,name,waterType,provider,updateDate
1,光華一街65號1樓,優福水生活館光華館,自來水,水源淨水有限公司,2021-05-03
3,東大路3段614號1樓,優福加水站新竹東大站,自來水,水源淨水有限公司,2021-05-03
4,金竹路80號1樓,優福加水站新竹金竹站,自來水,水源淨水有限公司,2021-05-03
5,鐵道路二段288號,富力康加水站,自來水,金西屋股份有限公司,2021-05-03
6,南大路573之3號,陽光加水站,自來水,陽光加水站,2021-05-03
7,振興路74號,優仕淨水-振興站,自來水,優仕淨水企業社,2021-05-03
8,花園街23之1號1樓,優仕淨水-花園站,自來水,優仕淨水企業社,2021-05-03
9,東南街146號,優仕淨水-東南站,自來水,優仕淨水企業社,2021-05-03
10,明湖路677號 ,優仕淨水-明湖677號站,自來水,優仕淨水企業社,2021-05-03
11,牛埔路17號,優仕淨水-牛埔站,自來水,優仕淨水企業社,2021-05-03
12,湳雅街263號1F,優仕淨水-湳雅站,,null,2021-05-03
13,長福街2號1樓,天悅淨水-長福站,自來水,天悅淨水企業社,2021-05-03
14,中山路660號1樓,天悅淨水-中山站,自來水,天悅淨水企業社,2021-05-03
15,東華路70號1樓,天悅淨水-東華站,自來水,天悅淨水企業社,2021-05-03
16,延平路1段293號1樓,天悅淨水-延平站,自來水,天悅淨水企業社,2021-05-03
17,北新街57號1樓,天悅淨水-北新站,自來水,天悅淨水企業社,2021-05-03
18,埔頂路257-1號,天悅淨水-埔頂站,自來水,天悅淨水企業社,2021-05-03
19,水田街162號1樓,天悅淨水-水田站,自來水,天悅淨水企業社,2021-05-03
20,鐵道路二段101巷36號,天悅淨水-新竹鐵道站,自來水,天悅淨水企業社,2021-05-03
21,四維路15號1F,天悅淨水-新竹四維站,自來水,天悅淨水企業社,2021-05-03
22,內湖路42號1樓,優仕淨水-新竹內湖站,自來水,天悅淨水企業社,2021-05-03
23,愛文街11巷23號,大西洋加水站,自來水,合泉淨水有限公司,2021-05-03
24,光復路一段527號1樓,小海豚加水站,自來水,優質企業社,2021-05-03
25,北大路374號1樓,城市優質企業加水站-北大站,自來水,優質企業社,2021-05-03
26,光復路一段476巷36-1號,優質企業加水站-春福站,自來水,優質企業社,2021-05-03
27,東區綠水里博愛街80號1樓,博愛館,自來水,富沛淨水有限公司,2021-05-03
28,國華街77號,博愛館,自來水,富沛淨水有限公司,2021-05-03
29,振興路71號,振興站,自來水,富沛淨水有限公司,2021-05-03
30,城北街136號,城北站,自來水,光美企業社,2021-05-03
31,香北一路116號,香北站,自來水,富沛淨水有限公司,2021-05-03
32,中正路443號,中正站,自來水,兆泉企業社,2021-05-03
33,南大路547號1樓,天悅淨水-新竹南大站,自來水,天悅淨水企業社,2021-05-03
34,國光街70號1樓,天悅淨水-新竹國光站,自來水,天悅淨水企業社,2021-05-03
35,新莊街185號,幸福加水站,自來水,幸福加水站,2021-05-03
36,東大路4段255號,淨好加水站,自來水,淨好加水站,2021-05-03
37,食品路407號,幸福水屋國際有限公司,自來水,幸福水屋國際有限公司,2021-05-03
38,光復路一段367巷3號,光復加水站,自來水,樂洗自助洗衣店,2021-05-03
39,關東路125號,幸福水屋國際有限公司,自來水,幸福水屋國際有限公司,2021-05-03
40,中和路55號,水源加水站-新竹中和店,自來水,水源淨水有限公司,2021-05-03
41,新竹市香山區埔前路29號,水蘋果加水站,自來水,鮮喝水製造廠(股)公司,2021-05-03
42,新竹市公園路156號,水蘋果樂活館,自來水,水蘋果樂活館,2021-05-03
43,新竹市仁德街50號,優仕淨水-新竹仁德站,自來水,優仕淨水有限公司,2021-05-03
44,新竹市西濱路1段369號,台灣加水聯盟-新竹南寮店,自來水,彭伯發展行,2021-05-03
45,新竹市北區武陵路73巷26號1樓,優衣洗加水站,自來水,優衣洗洗衣加水站,2021-05-03
46,新竹市東區中華路一段390號1樓,鯨魚加水站,自來水,鯨魚加水站,2021-05-03
47,新竹市東區東山街29號1樓,高永展加水站,自來水,高永展行,2021-05-03
48,新竹市西濱路一段448號,幸福水屋,自來水,南寮幸福水屋,2021-05-03
49,新竹市中華路3段10號,生機?能,自來水,秀瑾企業社,2021-05-03
50,新竹市北大路143號,可淶淨化加水站,自來水,可淶淨化商行,2021-05-03
51,太平洋,null,null,null,null
