stationID,location,name,waterType,provider,updateDate
13,長福街2號1樓,天悅淨水-長福站,自來水,天悅淨水企業社,2021-05-03
14,中山路660號1樓,天悅淨水-中山站,自來水,天悅淨水企業社,2021-05-03
15,東華路70號1樓,天悅淨水-東華站,自來水,天悅淨水企業社,2021-05-03
16,延平路1段293號1樓,天悅淨水-延平站,自來水,天悅淨水企業社,2021-05-03
17,北新街57號1樓,天悅淨水-北新站,自來水,天悅淨水企業社,2021-05-03
18,埔頂路257-1號,天悅淨水-埔頂站,自來水,天悅淨水企業社,2021-05-03
19,水田街162號1樓,天悅淨水-水田站,自來水,天悅淨水企業社,2021-05-03
20,鐵道路二段101巷36號,天悅淨水-新竹鐵道站,自來水,天悅淨水企業社,2021-05-03
21,四維路15號1F,天悅淨水-新竹四維站,自來水,天悅淨水企業社,2021-05-03
22,內湖路42號1樓,優仕淨水-新竹內湖站,自來水,天悅淨水企業社,2021-05-03
33,南大路547號1樓,天悅淨水-新竹南大站,自來水,天悅淨水企業社,2021-05-03
34,國光街70號1樓,天悅淨水-新竹國光站,自來水,天悅淨水企業社,2021-05-03
